Timestamp,real_rpm,rpm_set,real_rpm,rpm_set
3463000,199,210,199,210
3476000,191,210,193,210
3488000,214,210,219,210
3500000,211,210,210,210
3513000,211,210,211,210
3526000,217,210,217,210
3539000,214,210,213,210
3552000,213,210,210,210
3564000,211,210,211,210
3577000,214,210,211,210
3590000,207,210,207,210
3603000,199,210,199,210
3616000,199,210,199,210
3629000,201,210,201,210
3643000,219,210,222,210
3655000,223,210,220,210
3667000,213,210,212,210
3680000,216,210,216,210
3693000,212,210,208,210
3705000,219,210,219,210
3717000,215,210,215,210
3730000,211,210,209,210
3743000,203,210,203,210
3756000,192,210,192,210
3769000,209,210,209,210
3781000,212,210,212,210
3794000,212,210,211,210
3807000,232,210,225,210
3821000,213,210,214,210
3833000,222,210,221,210
3845000,214,210,214,210
3858000,215,210,215,210
3870000,215,210,214,210
3882000,199,210,198,210
3895000,193,210,193,210
3908000,196,210,197,210
3921000,216,210,216,210
3934000,237,210,237,210
3947000,210,210,216,210
3960000,229,210,227,210
3973000,212,210,212,210
3985000,213,210,223,210
3998000,224,210,220,210
4011000,209,210,209,210
4024000,201,210,203,210
4036000,196,210,196,210
4049000,193,210,193,210
4061000,217,210,216,210
4074000,205,210,211,210
4087000,209,210,229,210
4100000,213,210,209,210
4113000,211,210,215,210
4126000,215,210,215,210
4140000,208,210,208,210
4153000,212,210,215,210
4166000,203,210,203,210
4178000,193,210,193,210
4191000,197,210,197,210
4204000,208,210,214,210
4216000,234,210,237,210
4229000,212,210,212,210
4242000,218,210,229,210
4255000,213,210,213,210
4268000,211,210,211,210
4281000,216,210,222,210
4294000,208,210,208,210
4307000,200,210,202,210
4321000,198,210,196,210
4334000,195,210,195,210
4346000,220,210,220,210
4359000,207,210,207,210
4372000,224,210,230,210
4385000,210,210,210,210
4398000,212,210,220,210
4411000,215,210,215,210
4424000,206,210,207,210
4437000,213,210,213,210
4450000,203,210,199,210
4462000,195,210,194,210
4475000,199,210,197,210
4488000,204,210,212,210
4501000,235,210,235,210
4513000,209,210,209,210
4526000,215,210,224,210
4539000,212,210,211,210
4551000,209,210,209,210
4564000,215,210,220,210
4578000,207,210,207,210
4591000,202,210,200,210
4604000,199,210,195,210
4616000,195,210,195,210
4629000,220,210,220,210
4641000,212,210,205,210
4654000,211,210,213,210
4667000,216,210,214,210
4680000,210,210,210,210
4693000,211,210,211,210
4706000,204,210,206,210
4719000,211,210,211,210
4732000,206,210,202,210
4745000,200,210,195,210
4758000,201,210,201,210
4771000,202,210,202,210
4784000,222,210,222,210
4797000,217,210,211,210
4810000,214,210,214,210
4822000,211,210,211,210
4835000,209,210,209,210
4847000,214,210,214,210
4860000,212,210,207,210
4874000,201,210,200,210
4887000,197,210,197,210
4900000,191,210,194,210
4913000,214,210,218,210
4926000,207,210,205,210
4939000,209,210,209,210
4952000,216,210,213,210
4965000,211,210,211,210
4977000,212,210,212,210
4990000,206,210,206,210
5002000,211,210,211,210
5015000,206,210,205,210
5027000,198,210,197,210
5040000,199,210,199,210
5053000,197,210,202,210
5066000,221,210,221,210
5078000,223,210,223,210
5090000,213,210,214,210
5102000,219,210,216,210
5114000,212,210,212,210
5127000,223,210,223,210
5141000,215,210,215,210
5155000,211,210,204,210
5167000,200,210,200,210
5180000,191,210,191,210
5193000,210,210,210,210
5206000,212,210,212,210
5218000,211,210,211,210
5231000,225,210,225,210
5244000,214,210,214,210
5257000,217,210,217,210
5270000,213,210,209,210
5283000,215,210,215,210
5295000,211,210,211,210
5309000,200,210,200,210
5322000,197,210,199,210
5335000,197,210,200,210
5348000,215,210,218,210
5361000,232,210,222,210
5373000,215,210,212,210
5386000,221,210,215,210
5399000,212,210,211,210
5412000,223,210,223,210
5424000,217,210,217,210
5437000,210,210,212,210
5449000,203,210,203,210
5462000,196,210,196,210
5475000,195,210,200,210
5488000,212,210,212,210
5501000,211,210,211,210
5514000,230,210,230,210
5527000,209,210,214,210
5539000,218,210,221,210
5551000,214,210,214,210
5564000,209,210,209,210
5576000,214,210,214,210
5589000,199,210,199,210
5601000,192,210,192,210
5614000,194,210,194,210
5626000,202,210,209,210
5638000,221,210,235,210
5651000,217,210,211,210
5664000,213,210,223,210
5677000,212,210,212,210
5690000,210,210,213,210
5703000,219,210,219,210
5715000,213,210,207,210
5728000,200,210,200,210
5742000,197,210,196,210
5755000,190,210,195,210
5767000,221,210,221,210
5779000,209,210,209,210
5792000,210,210,212,210
5804000,217,210,216,210
5817000,211,210,211,210
5830000,212,210,212,210
5843000,206,210,206,210
5857000,212,210,212,210
5870000,207,210,207,210
5883000,199,210,195,210
5895000,200,210,201,210
5908000,204,210,204,210
5921000,219,210,222,210
5934000,220,210,216,210
5947000,213,210,213,210
5960000,212,210,212,210
5972000,208,210,208,210
5985000,221,210,216,210
5998000,215,210,215,210
6011000,208,210,202,210
6024000,200,210,200,210
6037000,191,210,191,210
6049000,211,210,215,210
6062000,212,210,212,210
6075000,211,210,209,210
6088000,214,210,214,210
6101000,213,210,212,210
6114000,211,210,211,210
6127000,211,210,205,210
6139000,213,210,213,210
6151000,206,210,206,210
6164000,198,210,197,210
6177000,198,210,198,210
6190000,197,210,201,210
6203000,217,210,217,210
6215000,223,210,223,210
6228000,212,210,212,210
6240000,221,210,217,210
6252000,212,210,212,210
6265000,223,210,223,210
6278000,217,210,216,210
6291000,209,210,210,210
6304000,202,210,202,210
6317000,194,210,192,210
6330000,201,210,201,210
6343000,213,210,212,210
6356000,212,210,212,210
6369000,231,210,225,210
6382000,212,210,212,210
6395000,222,210,220,210
6407000,214,210,212,210
6419000,205,210,212,210
6432000,216,210,216,210
6445000,201,210,199,210
6457000,194,210,194,210
6470000,196,210,196,210
6483000,210,210,215,210
6496000,238,210,238,210
6508000,210,210,210,210
6521000,225,210,225,210
6534000,211,210,211,210
6547000,221,210,221,210
6560000,222,210,222,210
6573000,208,210,208,210
6585000,202,210,201,210
6597000,196,210,196,210
6610000,193,210,193,210
6622000,219,210,215,210
6634000,207,210,203,210
6646000,210,210,210,210
6659000,214,210,214,210
6671000,210,210,210,210
6684000,211,210,211,210
6696000,210,210,204,210
6708000,214,210,212,210
6721000,208,210,206,210
6733000,199,210,198,210
6746000,196,210,197,210
6759000,196,210,198,210
6771000,214,210,214,210
6783000,231,210,228,210
6796000,215,210,215,210
6809000,226,210,222,210
6822000,212,210,212,210
6834000,222,210,222,210
6846000,222,210,222,210
6859000,207,210,210,210
6872000,203,210,203,210
6885000,196,210,195,210
6898000,197,210,197,210
6911000,213,210,213,210
